bleu,iter,stage
0.030081,1,ibm2_s2t
0.034639,2,ibm2_s2t
0.031772,3,ibm2_s2t
0.030246,4,ibm2_s2t
0.038980,5,ibm2_s2t
0.038478,6,ibm2_s2t
0.048436,7,ibm2_s2t
0.037958,8,ibm2_s2t
0.043653,9,ibm2_s2t
0.048589,10,ibm2_s2t
0.032627,1,ibm2_t2s
0.037291,2,ibm2_t2s
0.038937,3,ibm2_t2s
0.040214,4,ibm2_t2s
0.027370,5,ibm2_t2s
0.038519,6,ibm2_t2s
0.035370,7,ibm2_t2s
0.032050,8,ibm2_t2s
0.021101,9,ibm2_t2s
0.027448,10,ibm2_t2s
0.030047,1,ibm2_s2t
0.034639,2,ibm2_s2t
0.031775,3,ibm2_s2t
0.030246,4,ibm2_s2t
0.038983,5,ibm2_s2t
0.038460,6,ibm2_s2t
0.048412,7,ibm2_s2t
0.037958,8,ibm2_s2t
0.043653,9,ibm2_s2t
0.048588,10,ibm2_s2t
0.032627,1,ibm2_t2s
0.037285,2,ibm2_t2s
0.038935,3,ibm2_t2s
0.040125,4,ibm2_t2s
0.027365,5,ibm2_t2s
0.038515,6,ibm2_t2s
0.035372,7,ibm2_t2s
0.032054,8,ibm2_t2s
0.021101,9,ibm2_t2s
0.027434,10,ibm2_t2s
