bleu,iter,stage
0.044396,1,ibm1_s2t
0.046048,2,ibm1_s2t
0.046691,3,ibm1_s2t
0.043975,4,ibm1_s2t
0.046259,5,ibm1_s2t
0.044179,6,ibm1_s2t
0.049882,7,ibm1_s2t
0.038019,8,ibm1_s2t
0.045037,9,ibm1_s2t
0.050943,10,ibm1_s2t
0.045320,11,ibm1_s2t
0.035077,12,ibm1_s2t
0.044051,13,ibm1_s2t
0.046855,14,ibm1_s2t
0.047149,15,ibm1_s2t
0.046656,16,ibm1_s2t
0.043320,17,ibm1_s2t
0.046954,18,ibm1_s2t
0.046214,19,ibm1_s2t
0.044011,20,ibm1_s2t
0.049378,21,ibm1_s2t
0.040897,22,ibm1_s2t
0.047112,23,ibm1_s2t
0.034416,24,ibm1_s2t
0.043213,25,ibm1_s2t
0.041577,26,ibm1_s2t
0.044676,27,ibm1_s2t
0.046080,28,ibm1_s2t
0.040441,29,ibm1_s2t
0.043884,30,ibm1_s2t
0.023931,1,ibm1_t2s
0.025418,2,ibm1_t2s
0.018814,3,ibm1_t2s
0.020782,4,ibm1_t2s
0.012811,5,ibm1_t2s
0.021149,6,ibm1_t2s
0.020007,7,ibm1_t2s
0.021947,8,ibm1_t2s
0.017459,9,ibm1_t2s
0.014832,10,ibm1_t2s
0.012608,11,ibm1_t2s
0.017135,12,ibm1_t2s
0.017871,13,ibm1_t2s
0.020876,14,ibm1_t2s
0.023549,15,ibm1_t2s
0.018776,16,ibm1_t2s
0.018765,17,ibm1_t2s
0.015997,18,ibm1_t2s
0.018623,19,ibm1_t2s
0.012867,20,ibm1_t2s
0.025370,21,ibm1_t2s
0.016634,22,ibm1_t2s
0.025713,23,ibm1_t2s
0.021628,24,ibm1_t2s
0.011953,25,ibm1_t2s
0.023955,26,ibm1_t2s
0.018048,27,ibm1_t2s
0.021414,28,ibm1_t2s
0.019767,29,ibm1_t2s
0.000000,30,ibm1_t2s
0.170851,0,pbsmt_decode_jump
0.177588,0,pbsmt_decode_jump
0.179338,0,pbsmt_decode_jump
0.045050,1,ibm1_s2t
0.046773,2,ibm1_s2t
0.045696,3,ibm1_s2t
0.043996,4,ibm1_s2t
0.047612,5,ibm1_s2t
0.044156,6,ibm1_s2t
0.049824,7,ibm1_s2t
0.037997,8,ibm1_s2t
0.044915,9,ibm1_s2t
0.051757,10,ibm1_s2t
0.045336,11,ibm1_s2t
0.034884,12,ibm1_s2t
0.043881,13,ibm1_s2t
0.046849,14,ibm1_s2t
0.047117,15,ibm1_s2t
0.046557,16,ibm1_s2t
0.043223,17,ibm1_s2t
0.046900,18,ibm1_s2t
0.046214,19,ibm1_s2t
0.044868,20,ibm1_s2t
0.050571,21,ibm1_s2t
0.039930,22,ibm1_s2t
0.048449,23,ibm1_s2t
0.034425,24,ibm1_s2t
0.044169,25,ibm1_s2t
0.042675,26,ibm1_s2t
0.046367,27,ibm1_s2t
0.046104,28,ibm1_s2t
0.040470,29,ibm1_s2t
0.044762,30,ibm1_s2t
0.023866,1,ibm1_t2s
0.025552,2,ibm1_t2s
0.018903,3,ibm1_t2s
0.020704,4,ibm1_t2s
0.012833,5,ibm1_t2s
0.021053,6,ibm1_t2s
0.020007,7,ibm1_t2s
0.021875,8,ibm1_t2s
0.017344,9,ibm1_t2s
0.014845,10,ibm1_t2s
0.012574,11,ibm1_t2s
0.017102,12,ibm1_t2s
0.017825,13,ibm1_t2s
0.020890,14,ibm1_t2s
0.023549,15,ibm1_t2s
0.018609,16,ibm1_t2s
0.018797,17,ibm1_t2s
0.015942,18,ibm1_t2s
0.018634,19,ibm1_t2s
0.012898,20,ibm1_t2s
0.025563,21,ibm1_t2s
0.016669,22,ibm1_t2s
0.025859,23,ibm1_t2s
0.021643,24,ibm1_t2s
0.012156,25,ibm1_t2s
0.023968,26,ibm1_t2s
0.018258,27,ibm1_t2s
0.021239,28,ibm1_t2s
0.019785,29,ibm1_t2s
0.000000,30,ibm1_t2s
0.184330,0,pbsmt_decode_jump
