bleu,iter,stage
0.044716,1,ibm1_s2t
0.049306,2,ibm1_s2t
0.047911,3,ibm1_s2t
0.046728,4,ibm1_s2t
0.048609,5,ibm1_s2t
0.044512,6,ibm1_s2t
0.052030,7,ibm1_s2t
0.041199,8,ibm1_s2t
0.045449,9,ibm1_s2t
0.054478,10,ibm1_s2t
0.046823,11,ibm1_s2t
0.035535,12,ibm1_s2t
0.044996,13,ibm1_s2t
0.048510,14,ibm1_s2t
0.047673,15,ibm1_s2t
0.048020,16,ibm1_s2t
0.044731,17,ibm1_s2t
0.047320,18,ibm1_s2t
0.046542,19,ibm1_s2t
0.046445,20,ibm1_s2t
0.051919,21,ibm1_s2t
0.040233,22,ibm1_s2t
0.048967,23,ibm1_s2t
0.035935,24,ibm1_s2t
0.045794,25,ibm1_s2t
0.041541,26,ibm1_s2t
0.046701,27,ibm1_s2t
0.047070,28,ibm1_s2t
0.041821,29,ibm1_s2t
0.043934,30,ibm1_s2t
0.048475,31,ibm1_s2t
0.038387,32,ibm1_s2t
0.045400,33,ibm1_s2t
0.040798,34,ibm1_s2t
0.039493,35,ibm1_s2t
0.049227,36,ibm1_s2t
0.045366,37,ibm1_s2t
0.040903,38,ibm1_s2t
0.046730,39,ibm1_s2t
0.038442,40,ibm1_s2t
0.039868,41,ibm1_s2t
0.040704,42,ibm1_s2t
0.042412,43,ibm1_s2t
0.047152,44,ibm1_s2t
0.048463,45,ibm1_s2t
0.048043,46,ibm1_s2t
0.044018,47,ibm1_s2t
0.042232,48,ibm1_s2t
0.040052,49,ibm1_s2t
0.056218,50,ibm1_s2t
0.048291,51,ibm1_s2t
0.041539,52,ibm1_s2t
0.040304,53,ibm1_s2t
0.048953,54,ibm1_s2t
0.044934,55,ibm1_s2t
0.038968,56,ibm1_s2t
0.042842,57,ibm1_s2t
0.041726,58,ibm1_s2t
0.039936,59,ibm1_s2t
0.045436,60,ibm1_s2t
0.043283,61,ibm1_s2t
0.044378,62,ibm1_s2t
0.054211,63,ibm1_s2t
0.041666,64,ibm1_s2t
0.050236,65,ibm1_s2t
0.043239,66,ibm1_s2t
0.046766,67,ibm1_s2t
0.043683,68,ibm1_s2t
0.047166,69,ibm1_s2t
0.044054,70,ibm1_s2t
0.049570,71,ibm1_s2t
0.052331,72,ibm1_s2t
0.042765,73,ibm1_s2t
0.045139,74,ibm1_s2t
0.049900,75,ibm1_s2t
0.040928,76,ibm1_s2t
0.044735,77,ibm1_s2t
0.056398,78,ibm1_s2t
